Index,Word,Meaning,Displayed
0,Abate,"subside , or moderate",
1,Aberrant,"abnormal, or deviant",
2,Abeyance,suspended action,
3,Abscond,depart secretly and hide,
4,Abstemious,sparing in eating and drinking; temperate,
5,Admonish,warn; reprove,
6,Adulterate,make impure by adding inferior or tainted substances,
7,Aesthetic,artistic; dealing with or capable of appreciating the beautiful,
8,Aggregate,gather; accumulate,
9,Alacrity,cheerful promptness; eagerness,
10,Alleviate,relieve,
11,Amalgamate,combine; unite in one body,
12,Ambiguous,unclear or doubtful in meaning,
13,Ambivalence,the state of having contradictory or conflicting emotional attitudes,
14,Ameliorate,improve,
15,Anachronism,something or someone misplaced in time,
16,Analogous,comparable,
17,Anarchy,absence of governing body; state of disorder,
18,Anomalous,abnormal; irregular,
19,Antipathy,aversion; dislike,
20,Apathy,lack of caring; indifference,
21,Appease,pacify or soothe; relieve,
22,Apprise,inform,
23,Approbation,approval,
24,Appropriate v.,acquire; take possession of for one’s own use,
25,Arduous,hard; strenuous,
26,Artless,without guile; open and honest,
27,Ascetic,practicing self-denial; austere,
28,Assiduous,diligent,
29,Assuage v.,ease or lessen (pain); satisfy (hunger); soothe (anger),
30,Attenuate,make thinner,
31,Audacious,daring; bold,
32,Austere,forbiddingly stern; severely simple and unornamented,
33,Autonomous,self-governing; independent,
34,Aver,"assert confidently or declare; as used in law, state formally as a fact",
36,Banal,hackneyed; commonplace; trite; lacking originality,
37,Belie,contradict; give a false impression,
38,Beneficent,kindly; doing good,
39,Bolster,support; reinforce,
40,Bombastic,pompous; using inflated language,
41,Boorish,rude; insensitive,
42,Burgeon,grow forth; send out buds,
43,Burnish,make shiny by rubbing; polish,
44,Buttress v.,support; prop up,
46,Capricious,unpredictable; fickle,
47,Castigation,punishment; severe criticism,
48,Catalyst,agent that increases the pace of a chemical action,
49,Caustic,burning; sarcastically biting,
50,Chicanery,trickery; deception,
51,Coagulate,thicken; congeal; clot,
52,Coda,concluding section of a musical or literary composition; summarizes or concludes,
53,Cogent,convincing,
54,Commensurate adj.,"corresponding in extent, degree, etc.; proportionate",
55,Compendium,"brief, comprehensive summary",
56,Complaisant,trying to please; overly polite; obliging,
57,Compliant,yielding; conforming to requirements,
58,Conciliatory,reconciling; soothing,
59,Condone,overlook; forgive; give tacit approval; excuse,
60,Confound,confuse; puzzle,
61,Connoisseur,person competent to act as a judge of art; a lover of art,
62,Contention,claim; thesis,
63,Contentious,quarrelsome,
64,Contrite,penitent,
65,Conundrum,riddle; difficult problem,
66,Converge,approach; tend to meet; come together,
67,Convoluted,coiled around; involved; intricate,
68,Craven,cowardly,
70,Daunt,intimidate; frighten,
71,Decorum,propriety; orderliness and good taste in manners,
72,Default,failure to act,
73,Deference,courteous regard for another’s wishes,
74,Delineate,portray; depict; sketch,
75,Denigrate,blacken,
76,Deride,ridicule; make fun of,
77,Derivative,unoriginal; obtained from another source,
78,Desiccate,dry up,
79,Desultory,aimless; haphazard; digressing at random,
80,Deterrent,Something that discourages; hindrance,
81,Diatribe n.,bitter scolding; invective,
82,Dichotomy,split; branching into two parts (especially contradictory ones),
83,Diffidence,Shyness,
84,Diffuse adj.,"wordy, rambling, spread out (like a gas)",
85,Digression,Wandering away from the subject,
86,Dirge,Lament with music,
87,Disabuse,correct a false impression; undeceive,
88,Discerning,mentally quick and observant; having insight,
89,Discordant,not harmonious; conflicting,
90,Discredit,defame; destroy confidence in; disbelieve,
91,Discrepancy,lack of consistency; difference,
92,Discrete adj.,separate; unconnected; consisting of distinct parts,
