Word,Meaning,Part of speech,Example Usage
Abate,"subside , or moderate",verb ,the storm suddenly abated|
Aberrant,"abnormal, or deviant",adjective ,this somewhat aberrant behaviour requires an explanation|
Abeyance,suspended action,noun ,matters were held in abeyance pending further enquiries|
Abscond,depart secretly and hide,verb ,the barman absconded with a week's takings|
Abstemious,sparing in eating and drinking; temperate,adjective ,‘We only had a bottle.’ ‘Very abstemious of you.’|
Admonish,warn; reprove,verb ,she admonished me for appearing at breakfast unshaven|
Adulterate,make impure by adding inferior or tainted substances,verb adjective ,the brewer is said to adulterate his beer|adulterate remedies|
Aesthetic,artistic; dealing with or capable of appreciating the beautiful,adjective noun ,the pictures give great aesthetic pleasure|the Cubist aesthetic|
Aggregate,gather; accumulate,noun adjective verb ,the council was an aggregate of three regional assemblies|the aggregate amount of grants made|socio-occupational groups aggregate men sharing similar kinds of occupation|
Alacrity,cheerful promptness; eagerness,noun ,she accepted the invitation with alacrity|
Alleviate,relieve,verb ,"he couldn't prevent her pain, only alleviate it|"
Amalgamate,combine; unite in one body,verb ,he amalgamated his company with another|
Ambiguous,unclear or doubtful in meaning,adjective ,ambiguous phrases|
Ambivalence,the state of having contradictory or conflicting emotional attitudes,noun ,the law's ambivalence about the importance of a victim's identity|
Ameliorate,improve,verb ,the reform did much to ameliorate living standards|
Anachronism,something or someone misplaced in time,noun ,"the town is a throwback to medieval times, an anachronism that has survived the passing years|"
Analogous,comparable,adjective ,they saw the relationship between a ruler and his subjects as analogous to that of father and children|
Anarchy,absence of governing body; state of disorder,noun ,No example usage
Anomalous,abnormal; irregular,adjective ,an anomalous situation|
Antipathy,aversion; dislike,noun ,his fundamental antipathy to capitalism|
Apathy,lack of caring; indifference,noun ,widespread apathy among students|
Appease,pacify or soothe; relieve,verb ,amendments have been added to appease local pressure groups|
Apprise,inform,verb verb ,I thought it right to apprise Chris of what had happened|the sheriff was to apprize the value of the lands|
Approbation,approval,noun ,a term of approbation|
Appropriate v.,acquire; take possession of for one’s own use,adjective verb ,this isn't the appropriate time or place|the accused had appropriated the property|
Arduous,hard; strenuous,adjective ,an arduous journey|
Artless,without guile; open and honest,adjective ,"an artless, naive girl|"
Ascetic,practicing self-denial; austere,adjective noun ,No example usage found
Assiduous,diligent,adjective ,she was assiduous in pointing out every feature|
Assuage v.,ease or lessen (pain); satisfy (hunger); soothe (anger),verb ,the letter assuaged the fears of most members|
Attenuate,make thinner,verb adjective ,this research provides a glimmer of hope that coral reefs can attenuate the effects of ocean acidification|the doctrines of Christianity became very attenuate and distorted|
Audacious,daring; bold,adjective ,a series of audacious takeovers|
Austere,forbiddingly stern; severely simple and unornamented,adjective ,"he was an austere man, with a rigidly puritanical outlook|"
Autonomous,self-governing; independent,adjective ,the federation included sixteen autonomous republics|
Aver,"assert confidently or declare; as used in law, state formally as a fact",verb ,he averred that he was innocent of the allegations|
Banal,hackneyed; commonplace; trite; lacking originality,adjective ,"songs with banal, repeated words|"
Belie,contradict; give a false impression,verb ,"his lively, alert manner belied his years|"
Beneficent,kindly; doing good,adjective ,a beneficent landowner|
Bolster,support; reinforce,noun verb noun ,No example usage found
Bombastic,pompous; using inflated language,adjective ,bombastic rhetoric|
Boorish,rude; insensitive,adjective ,boorish behaviour|
Burgeon,grow forth; send out buds,verb noun ,No example usage found
Burnish,make shiny by rubbing; polish,verb noun ,No example usage found
Buttress v.,support; prop up,noun verb ,the cathedral's massive buttresses|we buttressed the wall as it was showing signs of cracking and collapse|
Capricious,unpredictable; fickle,adjective ,it's terrible to feel our livelihood hinges on a capricious boss|
Castigation,punishment; severe criticism,noun,The impassioned responses to my essay range from ardent appreciation to virulent castigation
Catalyst,agent that increases the pace of a chemical action,noun ,chlorine acts as a catalyst promoting the breakdown of ozone|
Caustic,burning; sarcastically biting,adjective noun ,No example usage found
Chicanery,trickery; deception,noun ,storylines packed with political chicanery|
Coagulate,thicken; congeal; clot,verb ,blood had coagulated round the edges of the gash|
Coda,concluding section of a musical or literary composition; summarizes or concludes,noun ,the first movement ends with a fortissimo coda|
